product_name,price,quantity,unit,seller,date
Platano Tabasco,28.9,1,kg,lacomer,2026-01-28
Papaya Maradol,39.9,1,kg,lacomer,2026-01-28
Fresa,59.9,1,pza,lacomer,2026-01-28
Manzana Royal Gala,59.9,1,kg,lacomer,2026-01-28
Piña Miel,16.9,1,kg,lacomer,2026-01-28
Uva Blanca Sin Semilla,98.5,1,kg,lacomer,2026-01-28
Guayaba,49.9,1,kg,lacomer,2026-01-28
Melon Chino,39.9,1,kg,lacomer,2026-01-28
Manzana Golden Nacional,59.9,1,kg,lacomer,2026-01-28
Pera De Anjou,39.9,1,kg,lacomer,2026-01-28
Manzana Red Delicious,49.9,1,kg,lacomer,2026-01-28
Manzana Granny,79.9,1,kg,lacomer,2026-01-28
Kiwi,125,1,kg,lacomer,2026-01-28
Manzana Delicious,89.9,1,kg,lacomer,2026-01-28
Platano Macho,42.9,1,kg,lacomer,2026-01-28
Sandia Charleston,15.9,1,kg,lacomer,2026-01-28
Manzana Ambrosia,69.9,1,kg,lacomer,2026-01-28
Zarzamora,49.9,1,pza,lacomer,2026-01-28
Platano Dominico,59.9,1,kg,lacomer,2026-01-28
Sandia Baby,29.9,1,kg,lacomer,2026-01-28
Uva Blanca Sin Semilla Empacada,98.5,1,kg,lacomer,2026-01-28
Sandia Sin Semilla,23.9,1,kg,lacomer,2026-01-28
Pera Bosc,59.9,1,kg,lacomer,2026-01-28
Durazno Melocoton,110,1,kg,lacomer,2026-01-28
Mango Paraiso,69.9,1,kg,lacomer,2026-01-28
Uva Roja Sin Semilla,129,1,kg,lacomer,2026-01-28
Manzana Fuji,72,1,kg,lacomer,2026-01-28
Pera Red De Anjou,69.9,1,kg,lacomer,2026-01-28
Ciruela Nubiana,120,1,kg,lacomer,2026-01-28
Tejocote,62.1,1,kg,lacomer,2026-01-28
Melon Valenciano,49.9,1,kg,lacomer,2026-01-28
Cereza,159,1,kg,lacomer,2026-01-28
Caña,29.2,1,kg,lacomer,2026-01-28
Mamey,42.9,1,kg,lacomer,2026-01-28
Manzana Rockit,69.9,907,grs,lacomer,2026-01-28
Manzana Pink Lady,69.9,1,kg,lacomer,2026-01-28
Higos,122.3,1,kg,lacomer,2026-01-28
Uva Negra Sin Semilla,113.6,1,kg,lacomer,2026-01-28
Granada China,259,1,kg,lacomer,2026-01-28
Pera Asiatica,69.9,1,kg,lacomer,2026-01-28
Ciruela Moscatel,89.9,1,kg,lacomer,2026-01-28
Chicozapote,90.5,1,kg,lacomer,2026-01-28
Zapote Negro,53,1,kg,lacomer,2026-01-28
Chirimoya,92,1,kg,lacomer,2026-01-28
Maracuya,84.4,1,kg,lacomer,2026-01-28
Calabaza De Castilla,25.9,1,kg,lacomer,2026-01-28
Guanabana,134.7,1,kg,lacomer,2026-01-28
Coco De Agua,49.9,1,pza,lacomer,2026-01-28
Carambolo,99.5,1,kg,lacomer,2026-01-28
Platano Morado,55,1,kg,lacomer,2026-01-28
Rambutan,140,1,kg,lacomer,2026-01-28
Pitahaya,189,1,kg,lacomer,2026-01-28
Uva Bicolor,119,900,grs,lacomer,2026-01-28
Curuba,80.3,1,kg,lacomer,2026-01-28
Manzana Cosmic Crisp,69.9,1,kg,lacomer,2026-01-28
Kiwi Rojo,89.9,454,grs,lacomer,2026-01-28
Calabaza Brujita,83.8,1,kg,lacomer,2026-01-28
Calabaza Fantasia,83.8,1,kg,lacomer,2026-01-28
Calabaza Hallowen,83.8,1,kg,lacomer,2026-01-28
Calabaza Pay,83.8,1,kg,lacomer,2026-01-28
Ciruela Flavor Grenade,214.1,1,kg,lacomer,2026-01-28
Ciruela Gold Rush,214.1,1,kg,lacomer,2026-01-28
Ciruela Midnight Rose,214.1,1,kg,lacomer,2026-01-28
Ciruela Plum King Kong,198,1,kg,lacomer,2026-01-28
Ciruela Roja Bolsa,148.5,907,grs,lacomer,2026-01-28
Manzana Autumn Glory,55.3,1,kg,lacomer,2026-01-28
Manzana Lemonade,98.5,907,grs,lacomer,2026-01-28
Melón Pure Perfection,69.7,1,kg,lacomer,2026-01-28
Limon Sin Semilla,39.9,1,kg,lacomer,2026-01-28
Limon Agrio Con Semilla,39.9,1,kg,lacomer,2026-01-28
Naranja Valencia,16.9,1,kg,lacomer,2026-01-28
Mandarina Clementina Malla,89.9,1,pza,lacomer,2026-01-28
Limon Eureka,69.9,1,kg,lacomer,2026-01-28
Toronja Sangria,32.9,1,kg,lacomer,2026-01-28
Mandarina,49.9,1,kg,lacomer,2026-01-28
Naranja Sin Semilla,69.9,1,kg,lacomer,2026-01-28
Limon Real,57.1,1,kg,lacomer,2026-01-28
Naranja Pink Navel Malla,79.9,1,pza,lacomer,2026-01-28
Naranja Japonesa,29.9,1,pza,lacomer,2026-01-28
Espinaca Baby,26.9,125,grs,lacomer,2026-01-28
Blue Berry,69.9,170,grs,lacomer,2026-01-28
Florete De Brocoli,32.9,454,grs,lacomer,2026-01-28
Espinaca Baby,39.9,250,grs,lacomer,2026-01-28
Frambuesa,69.9,1,pza,lacomer,2026-01-28
Champiñon Entero,39.9,225,grs,lacomer,2026-01-28
Pimiento De Colores,39.9,3,pza,lacomer,2026-01-28
Espinaca,32.9,200,grs,lacomer,2026-01-28
Corazon De Lechuga Orejona,46.9,750,grs,lacomer,2026-01-28
Champiñon Rebanado,39.9,225,grs,lacomer,2026-01-28
Lechuga Italiana,31.9,1,pza,lacomer,2026-01-28
Manzana Golden Bolsa,49.9,1,kg,lacomer,2026-01-28
Espinaca Popeye,49.9,284,grs,lacomer,2026-01-28
Tomatoes Glorys,54.9,283,grs,lacomer,2026-01-28
Jitomate Cherry,39.9,380,grs,lacomer,2026-01-28
Lechuga Francesa,31.9,1,pza,lacomer,2026-01-28
Tomatoes Cherubs,54.9,283,grs,lacomer,2026-01-28
Zanahoria Baby,32.9,340,grs,lacomer,2026-01-28
Lechuga Mini Romaine,42.9,2,pza,lacomer,2026-01-28
Espinaca Baby Popeye,49.9,227,grs,lacomer,2026-01-28
Esparrago,159,450,grs,lacomer,2026-01-28
Lechuga Sucrine,39.9,270,grs,lacomer,2026-01-28
Lechuga Sucrine,54.9,500,grs,lacomer,2026-01-28
Arugula,42.9,120,grs,lacomer,2026-01-28
Lechuga Baby,54.9,6,pza,lacomer,2026-01-28
Espinaca Baby Popeye,59.9,180,grs,lacomer,2026-01-28
Corazon De Lechuga Rustica,69.9,4,pza,lacomer,2026-01-28
Champiñon Boton,42.9,250,grs,lacomer,2026-01-28
Zanahoria Baby,29.9,340,grs,lacomer,2026-01-28
Champiñon Jumbo,85.9,500,grs,lacomer,2026-01-28
Lechuga Mini Francesa,42.9,2,pza,lacomer,2026-01-28
Corazon De Lechuga,36.9,3,pza,lacomer,2026-01-28
Tomatoes Constellation,94.9,467,grs,lacomer,2026-01-28
Zanahoria Baby,19.9,150,grs,lacomer,2026-01-28
Palito De Apio,56.2,800,grs,lacomer,2026-01-28
Kale,42.9,150,grs,lacomer,2026-01-28
Lechuga Trio,36.9,1,pza,lacomer,2026-01-28
Germinado De Alfalfa,39.9,200,grs,lacomer,2026-01-28
Kiwi Dorado,89.9,1,pza,lacomer,2026-01-28
